DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
,,,,,,,,,,,
,Manufacturing Assembling supply junction boxes per enclosed Drawing box shall prepared MS gauge x front side door provided hinges The box shall provided three iron strips enable fix hylam sheet size x x thick Hylam sheet shall fixed two female adaptors square area cables withstanding current make well spring ador fontech Panasonic box welded one MS Entire box shall painted corrosive red oxide finishing silver paint ,,Yes,,,,,,,No 02 No 2016 Specification 1 sheet 18 size 300 x 200 x 200 size 170 x 80 x 12 suit 120 capacity 800 ESAB 2 pipe 100 diameter 1000 long 3 ,
,,,,,,,,,,,
,Manufacturing Assembling supply junction boxes per enclosed Drawing box shall prepared MS gauge x front side door provided hinges The box shall provided three iron strips enable fix hylam sheet size x x thick Hylam sheet shall fixed two female adaptors square area cables withstanding current make well spring ador fontech Panasonic box welded MS inches Entire box shall painted corrosive red oxide finishing silver paint ,,Yes,,,,,,,No 01 No 2016 Specifications 1 sheet 18 size 600 x 200 x 200 size 500 x 80 x 12 suit 120 capacity 800 ESAB 2 pipes 4 diameter 1000 long 3 ,
,,,,,,,,,,,
,RUBBER KIT FOR ESCORTS MAKE EP BRAKE VALVE SUB ASSEMBLIES PRESSURE LIMITING VALVE TRIPPLE VALVE AND STABILIZING VALVE CONSISTING ITEMS AS PER PART LIST ATTACHED ,,No,,,,,,,OF 23 ,
,,,,,,,,,,,
,Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part ,,No,,,,,,,type 74888 type 4 No .74889 No 1 ,
,,,,,,,,,,,
,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment ,,No,,,,,,,OF 6 OF 23 ,
,,,,,,,,,,,
,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
,,,,,,,,,,,
,Maintenance Kit WSF Make EP Brake controller items per attachement ,,No,,,,,,,consisting 20 ,
,,,,,,,,,,,
,HKE Variable speed inches Length NESCO Part suitable Coil Spring Shot Peening Machine MAKE NESCO ,,No,,,,,,,Belt 1.1 Belt 16 inches 51 NO 5979 Model 1036 RA 108 ,
,,,,,,,,,,,
,Wet HP Motor Make Laxmi Santha 1 Model type capacity 7 ltrs warranty one phase Drum material stainless colour ,,No,,,,,,,white 7 grinder 1 Specification 1 conventional 2 capacity 7 ltrs 3 one 4 year 5 Three 6 steel 7 ,
,,,,,,,,,,,
,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
,,,,,,,,,,,
,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
,,,,,,,,,,,
,Multi function printer cum fax machine similar model HP officejet printer make HP Functions print print technology thermal Duty cycle UP colors Duplex printing Automatic print black A4 scan fax resolution processor speed MHz min ,,No,,,,,,,pro 6830 specifications 1 copy .2 inkjet 3 monthly 4 TO 15000 15000 .4 yes 5 standard .6 . 4 A4 18 ppm 7 optical 1200 1200 .8 resolution 300 300 300 x300 .9 speed 500 ,
,,,,,,,,,,,
,inch flexible hose adaptor ESCORTS ,Drg.No 3,No,,,,,,,similar 1 similar 4 KB 5236 ,
,,,,,,,,,,,
,Aluminum ferrule length outer ,,No,,,,,,,size 25 x 9 dia 1 ,
,,,,,,,,,,,
,Anti pilferage device Knuckle pivot pin length width flat thickness flat material specification ,,No,,,,,,,flat 120 flat 20 flat 3 IS 1079 ,
,,,,,,,,,,,
,Vinyle stickers pasted Acrylic sheet Transparent coaches ,Drg.No.SC/Chg/Misc./01/2015 ,No,,,,,,Rev.00 ,per .8 ,
,,,,,,,,,,,
,SILICON SEALANT CURE BLACK COLOUR OR SIMILAR IN ANABOND ,,No,,,,,,,IN 300 300 400 DOWCORNING 7081 ,
,,,,,,,,,,,
,Air cooler Symphony model JUMBO equivalent water tank litrs pluse Motor Air deflection 4 Speed 3 speed 5 Dimensions W X DX x Operating approx Air approx Body material type ABC Dust filter provided ,,No,,,,,,,specifications 1 capacity 51 minus 5 ltrs 2 speed 1400 RPM 3 system 4 way 4 control 3 speed 5 H 655 x 634 x 773 approx 6 voltage 110 voltage 230 volts 7 Wattage 180 approx 8 delivery 4000 4000 3 approx 9 plastic 10 10.Warrant 24 months 11 ,
,,,,,,,,,,,
,ISI marked dry wet bulb type psychrometer per Grade A ,,No,,,,,,,IS 5725 IS 1970 ,
,,,,,,,,,,,
,Hand held Speed gun Make Bushnell Model similar Speed meters approx Auto racing feet meters away x approx approx Battery type Alkaline ,,No,,,,,,,Velocity 101911 Accuracy 2 ball 16 ball 177 KPH 27 car 10 car 200 10-200MPH 1500 away 16 away 322 16-322MPH 457 Size 109 x 213 x 152 Weight 539 c 2 ,
,,,,,,,,,,,
,VALVE chicago pneumatic air compressor OEM ,,No,,,,,,,Assembly 105 105 3 part 1903254390 ,
,,,,,,,,,,,
,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED ,,No,,,,,,,,
,,,,,,,,,,,
,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18 plus Min pole distance plus minus ,,No,,,,,,,CAPACITY 18 spacing 18 distance 100 minus 10 distance 75 minus 10 ,
,,,,,,,,,,,
,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
,,,,,,,,,,,
,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
,,,,,,,,,,,
,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
,,,,,,,,,,,
,Multimedia projector storage media port integrated projector XGA ANSI ,,No,,,,,,,Resolution 1024 x 768 Lumen 3000 ,
,,,,,,,,,,,
,Multimedia projector storage media port integrated projector XGA ANSI ,,No,,,,,,,Resolution 1024 x 768 Lumen 3000 ,
,,,,,,,,,,,
,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
,,,,,,,,,,,
,Zero Friction Mono Rail System As per enclosed specification terms condition drawing ,,Yes,,,,,,,,
,,,,,,,,,,,
,Stainless Steel Inlays Western Style lavatory Note Participate tender valid approved ICF Vendors ,Drg No ICF/STD-4-1-002 ,No,,,,,alt x/2 ,,,
,,,,,,,,,,,
,Lower Spring Beam arrangement SG AC coaches ,Drg No WLRRM-0-5-006 ,No,,,,,Alt-e ,,,
,,,,,,,,,,,
,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18 plus Min pole distance plus minus 10 ,,No,,,,,,,CAPACITY 18 spacing 18 distance 100 minus 10 distance 75 minus 10 ,
,,,,,,,,,,,
,Combined set pf tools coaching stock maintenance specification attached ,,No,,,,,,,,
,,,,,,,,,,,
,ISI marked dry wet bulb type psychrometer per Grade A ,,No,,,,,,,IS 5725 IS 1970 ,
,,,,,,,,,,,
,Centre pivot pin shackle lock lock pin washer BLC wagon per ,Drg No CONTR-9404-,No,,"Item Nos.2,3,4,5 ",,,Alt.1 ,,RDSO 8 ,
,,,,,,,,,,,
,inch flexible hose adaptor ESCORTS ,Drg.No 3,No,,,,,,,similar 1 similar 4 KB 5236 ,
,,,,,,,,,,,
,Waste paper basket plastic upper bottom dia cms cms upper frame width thickness sheet mesh portion ,,No,,,,,,,dia 27 dia 19 height 30 flat 1 minimum 2 upto 3 upto 4 ,
,,,,,,,,,,,
,GM valve screwed ends ISI marked Specifications A INSIDE LIFT TYPE GUN METAL LEADED IN BRONZE OR BRASS ,,No,,,,,,,per 778 Size 20 SIZE 20 CLASS 1 ,
,,,,,,,,,,,
,Hand Brake Wheel BOXNHL wagon ,Drg.No WD-05086-,No,,,,,Alt-5 ,,RDSO 10 Item 33 Ref 96031 Ref 01 ,
,,,,,,,,,,,
,Pallet Rack F type shown As per enclosed specification ,DRG NO SCR/LGD/M P/DRG No.0159 ,No,,,,,,,,
,,,,,,,,,,,
,Distributor valve complete BLC latest Appendix ,Drg.No.CONTR-9405 ,No,Specn.No.02-ABR-02 A1 ,Item No.20 ,Amendment No.3 ,,Alt 11 ,,Wagon 13 ,
,,,,,,,,,,,
,Flat chisel length cutting Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 5663 per 1970 IS 402 IS 1990 Product .1046 Size 150 edge 20 ,
,,,,,,,,,,,
,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves ,,No,,,,,,,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,
,,,,,,,,,,,
,Hammer handle ball pein type pounds Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 841 per 1983 Product 800 No.WH-800B/C 2 approx 800 ,
,,,,,,,,,,,
,Gun Metal valve screwed female ends ISI integral seat inside lift type Gun metal leaded bronze brass ,,No,,,,,,,per 778 marked 25 size 25 type 1 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC5-0-3-501 ,No,,,,,ALT-w/5 ,,DEMU 1400 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR AIR SPRING BOGIE WITH STRAIGHT WEBS FOR AERO DYNAMIC COACHES TO BOGIE BOLSTER ARRANGEMENT FOR AIR SPRING BOGIE WITH STRAIGHT WEBS FOR DEMU 1400hp-NON AERO DYNAMIC COACHES TO ICF COL-I Note Approved sources considered ,DRG NO DMU/DPC5-0-4 -- 094 ,No,,,,,,,DEMU 1400 DEMU 1400 ,
,,,,,,,,,,,
,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves ,,No,,,,,,,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,
,,,,,,,,,,,
,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
,,,,,,,,,,,
,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
,,,,,,,,,,,
,Front Half Open Cage Pallet shown As per enclosed specification ,DRG SCR/LGD/M P/DRG No.0155 ,No,,,,,,,,
,,,,,,,,,,,
,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
,,,,,,,,,,,
,Short Body Bib cock per Jaquar Model Hindware Foam type ,,No,,,,,,,No 54 ,
,,,,,,,,,,,
,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification ,,No,,,,,,,,
,,,,,,,,,,,
,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF ,,No,,,,,,,OF 12 ,
,,,,,,,,,,,
,Combination insulated pliers Sleeve Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 3650 per 1981 Design .178415 Product .1621 Product 8 Size 8 8 210 ,
,,,,,,,,,,,
,Snubber Spring BLC TO ,Drg.No.CNTR 9404-,No,Specn.WD-01-HLS-94 S-7 ,,,,,,IS 3195 3195 .52 GR.52 .4 CR.4 2 ,
,,,,,,,,,,,
,Rail Jumper clamp metres copper cable per ,Drg.No.RE/DNR/EL/TP/07 ,No,,,,,,,ends 13 ,
,,,,,,,,,,,
,Rail Jumper clamp metres copper cable per ,Drg.No.RE/DNR/EL/TP/07 ,No,,,,,,,ends 13 ,
,,,,,,,,,,,
,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
,,,,,,,,,,,
,Set components required assembly porcelain commode Set ICF items rubber special Hexagonal pipe 2 4 steel ferrule Item ,Drg.No ICF/DEV/SK-6-3-160 ,No,,,,SK-6-3-225 ,,,"consisting 4 items 4 items 5 items 6 items 7 4,5,6,7 1 bush 1 drg.no.Item-1 2 pipe 20 drg 6 drg 3 drg 226 No..ICF/SK-6-3-226 1 Item1 3 drg.no 6 drg.no 3 drg.no 226 Item 2 2 4 dia 55 dia 3.2 Drg.No 6 Drg.No 3 Drg.No 160 Item 7 ",
,,,,,,,,,,,
,Screw transparent green handle blade dia Taparia make equivalent Everest Mekaster ,,No,,,,,,,per 844 per 1979 Design .177211 Product .829 Size 300 x 8 ,
,,,,,,,,,,,
,ltrs capacity Wet HP Motor Make Laxmi Santha MODEL TYPE 10 STONES WARRANTY ONE PHASE DRUM MATERIAL STAINLESS COLOUR ,,No,,,,,,,WHITE 10 grinder 1.5 Specification 1 CONVENTIONAL 2 CAPACITY 10 LTRS 3 ONE 4 YEAR 5 THREE 6 STEEL 7 ,
,,,,,,,,,,,
,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves ,,No,,,,,,,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,
,,,,,,,,,,,
,ISI marked valve Make ZOLOTO LEADER AUDCO HB b Body Leaded Tin leaded tin integral female Type ,,No,,,,,,,confirming 778 a.size 40 ,
,,,,,,,,,,,
,set consumables suitable LPH RO plants SNF BIDR PRLI crew lobbies Each set Carbon filter 04 nos 12 nos ,,No,,,,,,,existing 50 consisting 1 Fitter 12 12 2 filter 04 nos 3 filter 04 nos 4 Scalant 12 ,
,,,,,,,,,,,
,SAB A dimension gauge Material tool HRC ,,No,,,,,,,size 70 70mm 71 71mm 72 steel 3748 steel 90 IS:3748/90 50 IS:3748/90 55 ,
,,,,,,,,,,,
,Foldabe bottle holder ICF ,Drg.No ICF/STD-4-018 ,No,,,,,Alt.h/3 ,,,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO ,DRG NO DMU/DPC-0-3-009 ,No,,,,,ALT-F ,,DEMU 700 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources concedered ,DRG NO DMU/DPC-0-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources considered ,DRG NO.DMU/DPC-O-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
,,,,,,,,,,,
,ASSEMBLY OF NOSE SUSPENSION DEVICE DEMU COACH MOTOR SUSPENSION UNIT TO CGL PART OR BHEL PART NO ,,No,,,,,,,FOR 1400 NO 760242272 NO 428150001 ,
,,,,,,,,,,,
,ISI Marked Vertical NRV Check Valve confirming following specifications b integral seat c Screwed type e lift type ,,No,,,,,,,IS 778 IS 1984 size 15 class 1 ,
,,,,,,,,,,,
,RECHARGEABLE BATTERY SUITABLE WATT WALKIE TALKIE MODEL NO VHF SET MAKE TID HYT MOTOROLA ,,No,,,,,,,KENWOOD 7.2 VOLT 2300 FOR 5 TD-V 30 ,
,,,,,,,,,,,
,TARE TIE ROD GAUGE BLL WAGON MM MATERIAL TOOL STEEL TO HRC ,,No,,,,,,,SIZE 920 IS 3748 IS 90 HARDNESS- 50 HARDNESS- 55 ,
,,,,,,,,,,,
,Wash basin ceramic wall hung type L W X H similar RAASI cat west coupling Colour White ,,No,,,,,,,size 460 X 340 X 180 No 81036 ,
,,,,,,,,,,,
,Double acting air cylinder door operating mechanism BOBRN Wagons per Terms months date Manual To Shall seal pack jointly opened tested presence new instrument case repairable warranty period ,Drg.No.WD-92081-,No,,,,,Alt.1 ,,RDSO 54 condition 1 Warranty 12 supply 2 supplied 3 consignee 4 ,
,,,,,,,,,,,
,Polythene garbage cover inches microns thickness specification per CPCB APPCB guide lines ,,No,,,,,,,size 24 x 36 inches 40 ,
,,,,,,,,,,,
,Liner set sider bearer BLC latest ,Drg No.CONTR-9404-,No,,"Item Nos 4,5 6 7 ",,,Alt.12 ,,wagon 15 ,
,,,,,,,,,,,
,TARE TIE ROD GAUGE BILL WAGON MATERIAL TOOL STEEL TO ,,No,,,,,,,SIZE 916 IS 3748 IS 90 HARDNESS 50 HARDNESS 55 ,
,,,,,,,,,,,
,Zero Friction Mono Rail System As per enclosed specification terms condition drawing ,,Yes,,,,,,,,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO ,DRG NO.DMU/DPC-O-3-009 ,No,,,,,ALT-f ,,DEMU 700 ,
,,,,,,,,,,,
,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification ,,No,,,,,,,,
,,,,,,,,,,,
,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification ,,No,,,,,,,,
,,,,,,,,,,,
,TOILET DOOR RUBBER STOPPER AS PER ,DRG NO ICF/STD-6-3-018 ,No,,,,,,,,
,,,,,,,,,,,
,Reducing valve double check valve assembly BLC wagons Specification As per faiveley part ,,No,,,,,,,similar 1 No 780268900 ,
,,,,,,,,,,,
,Mixer grinder equivalent model stallion Kenstar equivalent 600 working jars stainless steel blades Make Kenstar philips usha lexus ,,No,,,,,,,DX 600 Specification 600 voltage 230 volt 50 c. 3 ,
,,,,,,,,,,,
,PTMT piller cock foam flow type Italian series Make PRAYAG BLUES WATERFALL model Blues model ,,No,,,,,,,size 15 cat 130 No 100 model .55 ,
,,,,,,,,,,,
,Clamping arrangement Securing Air Brake Pipes Bogie Frame items per detailed part list drawing numbers mentioned overleaf ,,Yes,,,,,,,consisting 04 ,
,,,,,,,,,,,
,Galvd clamping flush pipes ICF ,Drg No FC-6-3-055 ,No,,,,,Alt-p/43 ,,Bracket 3.15 Bracket 30 Bracket 259 Item 8 ,
,,,,,,,,,,,
,Flap Door Chainless cotter BOXNHL wagon RDSO ,Drg.No.W/DW-297 ,No,,,,,ALT.1 ,,,
,,,,,,,,,,,
,steam iron box Philips make Philips Bajaj USHA lexus ,,No,,,,,,,model .1920 ,
,,,,,,,,,,,
,Stainless steel Commercial mug chain rings Stainless steel Commercial quality SS304 mug chain rings ICF ,Drg No ICF/SK-6-3-481 ,No,,,,,,,quality 304 quality 304 Col-I 1 items-1 6 6 7 ,
,,,,,,,,,,,
,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF ,,No,,,,,,,OF 12 ,
,,,,,,,,,,,
,Wearing plate side bearer latest ,Drg.No T-0-5-648 ,No,,,,,,,,
,,,,,,,,,,,
,Hardwood packing feet feet x 2 inch recessed ends width x strip make ,,No,,,,,,,size 2 x 1 x 2 bonded 25 x 4 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,Hard packing feet x 1 inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 1 bonded 25 x 4 ,
,,,,,,,,,,,
,Supply fixing testing intermediate worn wheel flange thickness checking gauges CNC surface wheel lathe The detailed particulars set attached ,,No,,,,,,,"profiles 21 profiles 23 profiles 24 profiles 26 21,23,24,26 28 ",
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 4 bonded 25 x 4 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 3 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
,,,,,,,,,,,
,Male thread connector C per RDSO outer dia composite internal seal fitting similar KITEC make ,,No,,,,SK-K2029 ,,,size 1216 x 1 x 2 NOTE .4 Specification 12 inner 16 ,
,,,,,,,,,,,
,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
,,,,,,,,,,,
,Supply fixing testing intermediate worn wheel flange thickness checking gauges CNC surface wheel lathe The detailed particulars set flange thickness worn wheel profile 21mm flange thickness worn wheel profile checking gauge LH-01no RH-01 flange thickness worn wheel profile gauge LH-01no RH-01 23mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 flange thickness worn wheel profile gauge LH-01no RH-01 24mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 flange thickness worn wheel profile gauge LH-01no RH-01 flange thickness worn wheel profile checking gauge LH-01no . RH-01 flange thickness worn wheel profile gauge LH-01no RH-01 28mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 ,,No,,,,,,,"profiles 21 profiles 23 profiles 24 profiles 26 21,23,24,26 28 mentioned 1 1 21 gauge 01 LH-01no 01 RH-01 21 gauge 01 . 01 RH-01 2 2 23 gauge 01 LH-01no 01 RH-01 23 gauge 01 . 01 RH-01 3 3 24 gauge 01 LH-01no 01 RH-01 24 gauge 01 . 01 RH-01 4 4 .26 gauge 01 LH-01no 01 RH-01 26 gauge 01 . 01 RH-01 5 5 .28 gauge 01 LH-01no 01 RH-01 28 gauge 01 . 01 ",
,,,,,,,,,,,
,BRACKET FOR ANCHOR LINK TO ICF ,DRG NO T-0-4-613.,No,,,,,,,II.AIT-q 10 ,
,,,,,,,,,,,
,POH Kit isolating valve reducing valve WSF make Brake Valve Set Hardware Items per detailed list attached sent mail mail ID ,,No,,,,,,,consists 29 ,
,,,,,,,,,,,
,POH kit EP brake valve Air portion hard ware WSF Washer splinded Spring friction device No No Cam Roller Part -01 No Exhaust Choke Part No 01 No Oil retaining bush valve body lower Part 01 No Insulating strip Part No 01 No Insulating base Part No -01 No Double contact Part No 01 No ,,No,,,,,,,Set 08 make 1 shaft 70294 shaft 1 A70294/1- 01 No 2 No 87824 No 31 A87824/31 01 No 3 Part 701181 Part 1 No.J701181/1 01 No 4 A 70205 A 117 70205/117- 01 No 5 No.IA 70319 70319- 01 No 6 No 88617 No 1 A88617/1 01 No 7 No 88615 No 1 A88615/1 01 No 8 No 88616 No 1 A88616/1 01 ,
,,,,,,,,,,,
,G type door gear complete set Aluminium top amount feet 2 Sliding door fitting Ball bearing type ,,No,,,,,,,consisting 2 items 1 channel 2 thickness 6 length 2 ,
,,,,,,,,,,,
,POH kit Equalising discharge WSF make items per detailed part list given annexure mailed mail id ,,No,,,,,,,set 22 ,
,,,,,,,,,,,
,Horn suitable Elgi make Part equivalent ,,No,,,,,,,No 07026 ,
,,,,,,,,,,,
,PTFE Sealing ring ball ,Drg.No.CG-11089 ,No,,,,,Alt.2 ,,valve 5 RDSO 6 ,
,,,,,,,,,,,
,TOILET DOOR RUBBER STOPPER AS PER ,DRG NO ICF/STD-6-3-018 ,No,,,,,,,,
,,,,,,,,,,,
,Supply Fitment Thread Chaser inches dia Lock Plate inches dia complete Thread Chaser set suitable Threading Continental Machine Tools Machine Tools Details given attachement mailed email ID likely sources ,,No,,,,,,,aChuck 12 Szie 10 Machine 3 Mode3l 50 ,
,,,,,,,,,,,
,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF ,DRG NO CC 91170 ,No,,,,,ALT-F ,,,
,,,,,,,,,,,
,structural adhesive ,,No,,,,,,,Anabond 540 ,
,,,,,,,,,,,
,Back rest cum berth holding bracket smooth finish chromium plated CN coaches SCR ,Drg No PD/TPYS/SCR Drg No C W-99 ,No,,,,,Alt Nil ,,,
,,,,,,,,,,,
,Horn suitable Elgi make Part equivalent ,,No,,,,,,,No 007027 ,
,,,,,,,,,,,
,head bolt complete tanks conventional SG Coaches SS.Hex M8 IS:1364 percent u2013 3 Spring ,,No,,,,,,,consisting 3 items 1 SS.Hex.Bolt 8 x 25 percent 2013 u2013 5.6 5.6 1364 IS:1364 1 CE 2 Nut 8 M8 2 M8 70 A2-70 1367 IS:1367 14 Part-14 1364 IS:1364 3 percent 2013 u2013 2002 2002 3 washer 8 IS 3063 IS 1994 Coating 057 ,
,,,,,,,,,,,
,SUPPLY STITCHING CURTAIN CLOTH EQUIVALENT TO GM MAKE COLLECTION DECCAN WITH HIGHLET MODEL AS PER SAMPLE AVAILABLE IN THE OFFICE OF INCHES Dimensions attached ,,No,,,,,,,WIDTH 48 ,
,,,,,,,,,,,
,Chain HAND BRAKE UNIT arrangement inks link ktotal length per ICF confirming Specification IS ,Drg.No ICF/SR/DMU/TC/E-3-4-007 ,No,,,,,,,consisting 5 dia 20 length 60 chain 340 IS 6216 IS 1982 Gr.T 8 ,
,,,,,,,,,,,
,Pulley Foot mounted auxiliary Pulley Foot mounted auxiliary alternator DEMU DPC suitable KEL Type KEL A Groove Type spares ,,No,,,,,,,Part 1006 A 18.5 KW 6 percent 7 ,
,,,,,,,,,,,
,Bottom Nylon guide sliding door SLR Coaches RCF ,drg.No LB 58132 ,No,,,,,Alt -Nil ,,,
,,,,,,,,,,,
,Lower Rubber Washer Axle Box Guide Arrangement ,Drg No EMU/M-0-1-008 ,No,,,,,Alt -s/6 ,,Item 1 ,
,,,,,,,,,,,
,Rain coat Polyester Nylon rubberized inside layer consisting Pant Shirt hood Colour size As per requirement consignee Make Duck back Rainbow Rastro Adidas ,,No,,,,,,,,
,,,,,,,,,,,
,FENNER POLYF V BELT similar suitable Chicago Air Compressor ,,No,,,,,,,MODEL 3550 ,
,,,,,,,,,,,
,Center pivot liner BLC Wagon ,Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,
,,,,,,,,,,,
,Pad Lock one time lock made hard plastic moulded rectangular cuboid internal permanent locking arrangement steel rod per drawing ,Drg SSE/C W/SC/SK-001 ,Yes,,,,,,,,
